timestamp,eeg_value,subject_id,task
0.0,506,1,encoding
0.004,509,1,encoding
0.008,520,1,encoding
0.012,548,1,encoding
0.016,513,1,encoding
0.02,511,1,encoding
0.024,515,1,encoding
0.028,500,1,encoding
0.032,528,1,encoding
0.036,517,1,encoding
0.04,506,1,encoding
0.044,511,1,encoding
0.048,546,1,encoding
0.052,512,1,encoding
0.056,522,1,encoding
0.06,557,1,encoding
0.064,536,1,encoding
0.068,537,1,encoding
0.072,528,1,encoding
0.076,504,1,encoding
0.08,535,1,encoding
0.084,516,1,encoding
0.088,518,1,encoding
0.092,504,1,encoding
0.096,533,1,encoding
0.1,623,1,decoding
0.104,639,1,decoding
0.108,593,1,decoding
0.112,618,1,decoding
0.116,601,1,decoding
0.12,592,1,decoding
0.124,611,1,decoding
0.128,594,1,decoding
0.132,605,1,decoding
0.136,596,1,decoding
0.14,635,1,decoding
0.144,624,1,decoding
0.148,626,1,decoding
0.152,584,1,decoding
0.156,633,1,decoding
0.16,631,1,decoding
0.164,585,1,decoding
0.168,606,1,decoding
0.172,612,1,decoding
0.176,611,1,decoding
0.18,638,1,decoding
0.184,637,1,decoding
0.188,630,1,decoding
0.192,600,1,decoding
0.196,584,1,decoding
0.2,518,2,encoding
0.204,508,2,encoding
0.208,553,2,encoding
0.212,559,2,encoding
0.216,506,2,encoding
0.22,542,2,encoding
0.224,511,2,encoding
0.228,557,2,encoding
0.232,542,2,encoding
0.236,534,2,encoding
0.24,547,2,encoding
0.244,543,2,encoding
0.248,506,2,encoding
0.252,557,2,encoding
0.256,524,2,encoding
0.26,532,2,encoding
0.264,526,2,encoding
0.268,517,2,encoding
0.272,531,2,encoding
0.276,502,2,encoding
0.28,545,2,encoding
0.284,554,2,encoding
0.288,540,2,encoding
0.292,515,2,encoding
0.296,500,2,encoding
0.3,626,2,decoding
0.304,581,2,decoding
0.308,594,2,decoding
0.312,591,2,decoding
0.316,628,2,decoding
0.32,617,2,decoding
0.324,609,2,decoding
0.328,634,2,decoding
0.332,617,2,decoding
0.336,605,2,decoding
0.34,624,2,decoding
0.344,604,2,decoding
0.348,596,2,decoding
0.352,613,2,decoding
0.356,605,2,decoding
0.36,595,2,decoding
0.364,585,2,decoding
0.368,622,2,decoding
0.372,635,2,decoding
0.376,622,2,decoding
0.38,585,2,decoding
0.384,604,2,decoding
0.388,615,2,decoding
0.392,601,2,decoding
0.396,610,2,decoding
0.4,512,3,encoding
0.404,507,3,encoding
0.408,514,3,encoding
0.412,543,3,encoding
0.416,522,3,encoding
0.42,556,3,encoding
0.424,548,3,encoding
0.428,502,3,encoding
0.432,503,3,encoding
0.436,544,3,encoding
0.44,541,3,encoding
0.444,534,3,encoding
0.448,544,3,encoding
0.452,501,3,encoding
0.456,555,3,encoding
0.46,530,3,encoding
0.464,501,3,encoding
0.468,525,3,encoding
0.472,519,3,encoding
0.476,555,3,encoding
0.48,518,3,encoding
0.484,517,3,encoding
0.488,545,3,encoding
0.492,560,3,encoding
0.496,526,3,encoding
0.5,608,3,decoding
0.504,622,3,decoding
0.508,593,3,decoding
0.512,608,3,decoding
0.516,593,3,decoding
0.52,611,3,decoding
0.524,585,3,decoding
0.528,584,3,decoding
0.532,630,3,decoding
0.536,604,3,decoding
0.54,639,3,decoding
0.544,611,3,decoding
0.548,622,3,decoding
0.552,596,3,decoding
0.556,585,3,decoding
0.56,636,3,decoding
0.564,636,3,decoding
0.568,639,3,decoding
0.572,635,3,decoding
0.576,628,3,decoding
0.58,588,3,decoding
0.584,593,3,decoding
0.588,608,3,decoding
0.592,631,3,decoding
0.596,610,3,decoding
0.6,560,4,encoding
0.604,527,4,encoding
0.608,511,4,encoding
0.612,538,4,encoding
0.616,528,4,encoding
0.62,522,4,encoding
0.624,537,4,encoding
0.628,558,4,encoding
0.632,533,4,encoding
0.636,542,4,encoding
0.64,553,4,encoding
0.644,545,4,encoding
0.648,558,4,encoding
0.652,551,4,encoding
0.656,548,4,encoding
0.66,522,4,encoding
0.664,524,4,encoding
0.668,545,4,encoding
0.672,529,4,encoding
0.676,525,4,encoding
0.68,514,4,encoding
0.684,504,4,encoding
0.688,524,4,encoding
0.692,515,4,encoding
0.696,505,4,encoding
0.7,588,4,decoding
0.704,624,4,decoding
0.708,631,4,decoding
0.712,590,4,decoding
0.716,591,4,decoding
0.72,610,4,decoding
0.724,620,4,decoding
0.728,595,4,decoding
0.732,580,4,decoding
0.736,624,4,decoding
0.74,638,4,decoding
0.744,632,4,decoding
0.748,640,4,decoding
0.752,581,4,decoding
0.756,622,4,decoding
0.76,607,4,decoding
0.764,638,4,decoding
0.768,606,4,decoding
0.772,631,4,decoding
0.776,602,4,decoding
0.78,600,4,decoding
0.784,597,4,decoding
0.788,602,4,decoding
0.792,589,4,decoding
0.796,622,4,decoding
